annotation_id,annotation_name,size,linkout,date_download,go_download_link
R-SCE-212436,Generic Transcription Pathway,75,https://reactome.org/PathwayBrowser/#/R-SCE-212436,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-3700989,Transcriptional Regulation by TP53,72,https://reactome.org/PathwayBrowser/#/R-SCE-3700989,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-5633008,TP53 Regulates Transcription of Cell Death Genes,7,https://reactome.org/PathwayBrowser/#/R-SCE-5633008,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-6803204,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,4,https://reactome.org/PathwayBrowser/#/R-SCE-6803204,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-73857,RNA Polymerase II Transcription,99,https://reactome.org/PathwayBrowser/#/R-SCE-73857,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-74160,Gene expression (Transcription),133,https://reactome.org/PathwayBrowser/#/R-SCE-74160,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-1268020,Mitochondrial protein import,14,https://reactome.org/PathwayBrowser/#/R-SCE-1268020,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-9609507,Protein localization,51,https://reactome.org/PathwayBrowser/#/R-SCE-9609507,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-109581,Apoptosis,9,https://reactome.org/PathwayBrowser/#/R-SCE-109581,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-109606,Intrinsic Pathway for Apoptosis,4,https://reactome.org/PathwayBrowser/#/R-SCE-109606,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-111457,Release of apoptotic factors from the mitochondria,4,https://reactome.org/PathwayBrowser/#/R-SCE-111457,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-111471,Apoptotic factor-mediated response,4,https://reactome.org/PathwayBrowser/#/R-SCE-111471,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-1428517,The citric acid (TCA) cycle and respiratory electron transport,40,https://reactome.org/PathwayBrowser/#/R-SCE-1428517,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-1430728,Metabolism,435,https://reactome.org/PathwayBrowser/#/R-SCE-1430728,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-163200,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",16,https://reactome.org/PathwayBrowser/#/R-SCE-163200,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-2262752,Cellular responses to stress,82,https://reactome.org/PathwayBrowser/#/R-SCE-2262752,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-3299685,Detoxification of Reactive Oxygen Species,7,https://reactome.org/PathwayBrowser/#/R-SCE-3299685,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-5218859,Regulated Necrosis,2,https://reactome.org/PathwayBrowser/#/R-SCE-5218859,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-5357801,Programmed Cell Death,9,https://reactome.org/PathwayBrowser/#/R-SCE-5357801,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-5620971,Pyroptosis,2,https://reactome.org/PathwayBrowser/#/R-SCE-5620971,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-611105,Respiratory electron transport,15,https://reactome.org/PathwayBrowser/#/R-SCE-611105,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-8953897,Cellular responses to stimuli,82,https://reactome.org/PathwayBrowser/#/R-SCE-8953897,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-9711123,Cellular response to chemical stress,15,https://reactome.org/PathwayBrowser/#/R-SCE-9711123,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-70171,Glycolysis,27,https://reactome.org/PathwayBrowser/#/R-SCE-70171,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-70263,Gluconeogenesis,22,https://reactome.org/PathwayBrowser/#/R-SCE-70263,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-70326,Glucose metabolism,35,https://reactome.org/PathwayBrowser/#/R-SCE-70326,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-71387,Metabolism of carbohydrates,78,https://reactome.org/PathwayBrowser/#/R-SCE-71387,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-109582,Hemostasis,45,https://reactome.org/PathwayBrowser/#/R-SCE-109582,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-114608,Platelet degranulation ,17,https://reactome.org/PathwayBrowser/#/R-SCE-114608,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-76002,"Platelet activation, signaling and aggregation",31,https://reactome.org/PathwayBrowser/#/R-SCE-76002,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-76005,Response to elevated platelet cytosolic Ca2+,20,https://reactome.org/PathwayBrowser/#/R-SCE-76005,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-1640170,Cell Cycle,128,https://reactome.org/PathwayBrowser/#/R-SCE-1640170,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-176187,Activation of ATR in response to replication stress,29,https://reactome.org/PathwayBrowser/#/R-SCE-176187,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-453279,Mitotic G1 phase and G1/S transition,40,https://reactome.org/PathwayBrowser/#/R-SCE-453279,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-68962,Activation of the pre-replicative complex,27,https://reactome.org/PathwayBrowser/#/R-SCE-68962,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-69002,DNA Replication Pre-Initiation,27,https://reactome.org/PathwayBrowser/#/R-SCE-69002,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-69017,CDK-mediated phosphorylation and removal of Cdc6,11,https://reactome.org/PathwayBrowser/#/R-SCE-69017,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-69052,Switching of origins to a post-replicative state,18,https://reactome.org/PathwayBrowser/#/R-SCE-69052,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-69202,Cyclin E associated events during G1/S transition ,14,https://reactome.org/PathwayBrowser/#/R-SCE-69202,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-69206,G1/S Transition,40,https://reactome.org/PathwayBrowser/#/R-SCE-69206,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-69239,Synthesis of DNA,41,https://reactome.org/PathwayBrowser/#/R-SCE-69239,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-69242,S Phase,47,https://reactome.org/PathwayBrowser/#/R-SCE-69242,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-69278,"Cell Cycle, Mitotic",119,https://reactome.org/PathwayBrowser/#/R-SCE-69278,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-69306,DNA Replication,50,https://reactome.org/PathwayBrowser/#/R-SCE-69306,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-69481,G2/M Checkpoints,30,https://reactome.org/PathwayBrowser/#/R-SCE-69481,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-69620,Cell Cycle Checkpoints,35,https://reactome.org/PathwayBrowser/#/R-SCE-69620,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-168249,Innate Immune System,211,https://reactome.org/PathwayBrowser/#/R-SCE-168249,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-168256,Immune System,287,https://reactome.org/PathwayBrowser/#/R-SCE-168256,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-6798695,Neutrophil degranulation,169,https://reactome.org/PathwayBrowser/#/R-SCE-6798695,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-1280218,Adaptive Immune System,108,https://reactome.org/PathwayBrowser/#/R-SCE-1280218,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-2132295,MHC class II antigen presentation,2,https://reactome.org/PathwayBrowser/#/R-SCE-2132295,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-70635,Urea cycle,7,https://reactome.org/PathwayBrowser/#/R-SCE-70635,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-71291,Metabolism of amino acids and derivatives,72,https://reactome.org/PathwayBrowser/#/R-SCE-71291,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-379716,Cytosolic tRNA aminoacylation,1,https://reactome.org/PathwayBrowser/#/R-SCE-379716,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-379724,tRNA Aminoacylation,2,https://reactome.org/PathwayBrowser/#/R-SCE-379724,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-379726,Mitochondrial tRNA aminoacylation,2,https://reactome.org/PathwayBrowser/#/R-SCE-379726,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-71737,Pyrophosphate hydrolysis,2,https://reactome.org/PathwayBrowser/#/R-SCE-71737,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-71403,Citric acid cycle (TCA cycle),16,https://reactome.org/PathwayBrowser/#/R-SCE-71403,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-71406,Pyruvate metabolism and Citric Acid (TCA) cycle,24,https://reactome.org/PathwayBrowser/#/R-SCE-71406,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-162582,Signal Transduction,228,https://reactome.org/PathwayBrowser/#/R-SCE-162582,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-194315,Signaling by Rho GTPases,81,https://reactome.org/PathwayBrowser/#/R-SCE-194315,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-9012999,RHO GTPase cycle,65,https://reactome.org/PathwayBrowser/#/R-SCE-9012999,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-9696273,RND1 GTPase cycle,11,https://reactome.org/PathwayBrowser/#/R-SCE-9696273,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",84,https://reactome.org/PathwayBrowser/#/R-SCE-9716542,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-162658,Golgi Cisternae Pericentriolar Stack Reorganization,3,https://reactome.org/PathwayBrowser/#/R-SCE-162658,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-199977,ER to Golgi Anterograde Transport,60,https://reactome.org/PathwayBrowser/#/R-SCE-199977,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-199991,Membrane Trafficking,135,https://reactome.org/PathwayBrowser/#/R-SCE-199991,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-204005,COPII-mediated vesicle transport,35,https://reactome.org/PathwayBrowser/#/R-SCE-204005,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-446203,Asparagine N-linked glycosylation,84,https://reactome.org/PathwayBrowser/#/R-SCE-446203,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-5653656,Vesicle-mediated transport,135,https://reactome.org/PathwayBrowser/#/R-SCE-5653656,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-597592,Post-translational protein modification,206,https://reactome.org/PathwayBrowser/#/R-SCE-597592,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-6807878,COPI-mediated anterograde transport,32,https://reactome.org/PathwayBrowser/#/R-SCE-6807878,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-6811434,COPI-dependent Golgi-to-ER retrograde traffic,32,https://reactome.org/PathwayBrowser/#/R-SCE-6811434,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-6811442,Intra-Golgi and retrograde Golgi-to-ER traffic,54,https://reactome.org/PathwayBrowser/#/R-SCE-6811442,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-68875,Mitotic Prophase,13,https://reactome.org/PathwayBrowser/#/R-SCE-68875,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-68886,M Phase,46,https://reactome.org/PathwayBrowser/#/R-SCE-68886,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-8856688,Golgi-to-ER retrograde transport,36,https://reactome.org/PathwayBrowser/#/R-SCE-8856688,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-8873719,RAB geranylgeranylation,13,https://reactome.org/PathwayBrowser/#/R-SCE-8873719,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-8876198,RAB GEFs exchange GTP for GDP on RABs,19,https://reactome.org/PathwayBrowser/#/R-SCE-8876198,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-9007101,Rab regulation of trafficking,24,https://reactome.org/PathwayBrowser/#/R-SCE-9007101,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-948021,Transport to the Golgi and subsequent modification,61,https://reactome.org/PathwayBrowser/#/R-SCE-948021,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-2299718,Condensation of Prophase Chromosomes,5,https://reactome.org/PathwayBrowser/#/R-SCE-2299718,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-2990846,SUMOylation,37,https://reactome.org/PathwayBrowser/#/R-SCE-2990846,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-3108232,SUMO E3 ligases SUMOylate target proteins,33,https://reactome.org/PathwayBrowser/#/R-SCE-3108232,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-3214842,HDMs demethylate histones,2,https://reactome.org/PathwayBrowser/#/R-SCE-3214842,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-3214847,HATs acetylate histones,4,https://reactome.org/PathwayBrowser/#/R-SCE-3214847,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-3214858,RMTs methylate histone arginines,5,https://reactome.org/PathwayBrowser/#/R-SCE-3214858,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-3247509,Chromatin modifying enzymes,18,https://reactome.org/PathwayBrowser/#/R-SCE-3247509,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-4551638,SUMOylation of chromatin organization proteins,7,https://reactome.org/PathwayBrowser/#/R-SCE-4551638,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-4839726,Chromatin organization,18,https://reactome.org/PathwayBrowser/#/R-SCE-4839726,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,120,https://reactome.org/PathwayBrowser/#/R-SCE-6791226,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-72312,rRNA processing,120,https://reactome.org/PathwayBrowser/#/R-SCE-72312,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-72649,Translation initiation complex formation,62,https://reactome.org/PathwayBrowser/#/R-SCE-72649,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",62,https://reactome.org/PathwayBrowser/#/R-SCE-72662,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-72695,"Formation of the ternary complex, and subsequently, the 43S complex",54,https://reactome.org/PathwayBrowser/#/R-SCE-72695,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-72702,Ribosomal scanning and start codon recognition,60,https://reactome.org/PathwayBrowser/#/R-SCE-72702,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-8868773,rRNA processing in the nucleus and cytosol,120,https://reactome.org/PathwayBrowser/#/R-SCE-8868773,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-1852241,Organelle biogenesis and maintenance,9,https://reactome.org/PathwayBrowser/#/R-SCE-1852241,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-2555396,Mitotic Metaphase and Anaphase,19,https://reactome.org/PathwayBrowser/#/R-SCE-2555396,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-2995410,Nuclear Envelope (NE) Reassembly,18,https://reactome.org/PathwayBrowser/#/R-SCE-2995410,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-5617833,Cilium Assembly,9,https://reactome.org/PathwayBrowser/#/R-SCE-5617833,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-68882,Mitotic Anaphase,19,https://reactome.org/PathwayBrowser/#/R-SCE-68882,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-9668328,Sealing of the nuclear envelope (NE) by ESCRT-III,11,https://reactome.org/PathwayBrowser/#/R-SCE-9668328,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-1474151,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",6,https://reactome.org/PathwayBrowser/#/R-SCE-1474151,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-168643,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",7,https://reactome.org/PathwayBrowser/#/R-SCE-168643,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-194138,Signaling by VEGF,14,https://reactome.org/PathwayBrowser/#/R-SCE-194138,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-196854,Metabolism of vitamins and cofactors,51,https://reactome.org/PathwayBrowser/#/R-SCE-196854,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-202131,Metabolism of nitric oxide: NOS3 activation and regulation,6,https://reactome.org/PathwayBrowser/#/R-SCE-202131,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-203615,eNOS activation,6,https://reactome.org/PathwayBrowser/#/R-SCE-203615,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,12,https://reactome.org/PathwayBrowser/#/R-SCE-3371497,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-3371511,HSF1 activation,12,https://reactome.org/PathwayBrowser/#/R-SCE-3371511,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-3371556,Cellular response to heat stress,30,https://reactome.org/PathwayBrowser/#/R-SCE-3371556,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-3371571,HSF1-dependent transactivation,19,https://reactome.org/PathwayBrowser/#/R-SCE-3371571,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-4420097,VEGFA-VEGFR2 Pathway,14,https://reactome.org/PathwayBrowser/#/R-SCE-4420097,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-5218920,VEGFR2 mediated vascular permeability,12,https://reactome.org/PathwayBrowser/#/R-SCE-5218920,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-622312,Inflammasomes,2,https://reactome.org/PathwayBrowser/#/R-SCE-622312,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-844456,The NLRP3 inflammasome,2,https://reactome.org/PathwayBrowser/#/R-SCE-844456,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-8939211,ESR-mediated signaling,42,https://reactome.org/PathwayBrowser/#/R-SCE-8939211,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-8978934,Metabolism of cofactors,10,https://reactome.org/PathwayBrowser/#/R-SCE-8978934,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-9006931,Signaling by Nuclear Receptors,55,https://reactome.org/PathwayBrowser/#/R-SCE-9006931,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-9006934,Signaling by Receptor Tyrosine Kinases,40,https://reactome.org/PathwayBrowser/#/R-SCE-9006934,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-9009391,Extra-nuclear estrogen signaling,9,https://reactome.org/PathwayBrowser/#/R-SCE-9009391,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-9013418,RHOBTB2 GTPase cycle,14,https://reactome.org/PathwayBrowser/#/R-SCE-9013418,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-9706574,RHOBTB GTPase Cycle,18,https://reactome.org/PathwayBrowser/#/R-SCE-9706574,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-156842,Eukaryotic Translation Elongation,5,https://reactome.org/PathwayBrowser/#/R-SCE-156842,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-8876725,Protein methylation,10,https://reactome.org/PathwayBrowser/#/R-SCE-8876725,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-1280215,Cytokine Signaling in Immune system,49,https://reactome.org/PathwayBrowser/#/R-SCE-1280215,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-166016,Toll Like Receptor 4 (TLR4) Cascade,16,https://reactome.org/PathwayBrowser/#/R-SCE-166016,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-166058,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,16,https://reactome.org/PathwayBrowser/#/R-SCE-166058,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-166166,MyD88-independent TLR4 cascade ,16,https://reactome.org/PathwayBrowser/#/R-SCE-166166,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-168138,Toll Like Receptor 9 (TLR9) Cascade,16,https://reactome.org/PathwayBrowser/#/R-SCE-168138,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-168142,Toll Like Receptor 10 (TLR10) Cascade,16,https://reactome.org/PathwayBrowser/#/R-SCE-168142,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-168164,Toll Like Receptor 3 (TLR3) Cascade,16,https://reactome.org/PathwayBrowser/#/R-SCE-168164,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-168176,Toll Like Receptor 5 (TLR5) Cascade,16,https://reactome.org/PathwayBrowser/#/R-SCE-168176,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-168179,Toll Like Receptor TLR1:TLR2 Cascade,16,https://reactome.org/PathwayBrowser/#/R-SCE-168179,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-SCE-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,16,https://reactome.org/PathwayBrowser/#/R-SCE-168181,2023-05-10,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
