annotation_id,annotation_name,size,linkout,date_download,annotation_description,go_download_link
R-HSA-5663205,Infectious disease,1568,https://reactome.org/PathwayBrowser/#/R-HSA-5663205,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-5690714,CD22 mediated BCR regulation,70,https://reactome.org/PathwayBrowser/#/R-HSA-5690714,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9658195,Leishmania infection,402,https://reactome.org/PathwayBrowser/#/R-HSA-9658195,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9662851,Anti-inflammatory response favouring Leishmania parasite infection,274,https://reactome.org/PathwayBrowser/#/R-HSA-9662851,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9664323,FCGR3A-mediated IL10 synthesis,223,https://reactome.org/PathwayBrowser/#/R-HSA-9664323,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9664407,Parasite infection,273,https://reactome.org/PathwayBrowser/#/R-HSA-9664407,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9664417,Leishmania phagocytosis,273,https://reactome.org/PathwayBrowser/#/R-HSA-9664417,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9664422,FCGR3A-mediated phagocytosis,273,https://reactome.org/PathwayBrowser/#/R-HSA-9664422,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9664433,Leishmania parasite growth and survival,274,https://reactome.org/PathwayBrowser/#/R-HSA-9664433,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9679191,Potential therapeutics for SARS,164,https://reactome.org/PathwayBrowser/#/R-HSA-9679191,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9679506,SARS-CoV Infections,579,https://reactome.org/PathwayBrowser/#/R-HSA-9679506,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-977606,Regulation of Complement cascade,135,https://reactome.org/PathwayBrowser/#/R-HSA-977606,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9824443,Parasitic Infection Pathways,402,https://reactome.org/PathwayBrowser/#/R-HSA-9824443,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9824446,Viral Infection Pathways,1113,https://reactome.org/PathwayBrowser/#/R-HSA-9824446,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,181,https://reactome.org/PathwayBrowser/#/R-HSA-983695,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-983705,Signaling by the B Cell Receptor (BCR),279,https://reactome.org/PathwayBrowser/#/R-HSA-983705,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-162582,Signal Transduction,3189,https://reactome.org/PathwayBrowser/#/R-HSA-162582,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-194315,Signaling by Rho GTPases,738,https://reactome.org/PathwayBrowser/#/R-HSA-194315,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9012999,RHO GTPase cycle,453,https://reactome.org/PathwayBrowser/#/R-HSA-9012999,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9013106,RHOC GTPase cycle,75,https://reactome.org/PathwayBrowser/#/R-HSA-9013106,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",756,https://reactome.org/PathwayBrowser/#/R-HSA-9716542,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-202403,TCR signaling,128,https://reactome.org/PathwayBrowser/#/R-HSA-202403,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-202424,Downstream TCR signaling,104,https://reactome.org/PathwayBrowser/#/R-HSA-202424,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,29,https://reactome.org/PathwayBrowser/#/R-HSA-202427,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-202430,Translocation of ZAP-70 to Immunological synapse,26,https://reactome.org/PathwayBrowser/#/R-HSA-202430,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-202433,Generation of second messenger molecules,43,https://reactome.org/PathwayBrowser/#/R-HSA-202433,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-388841,Costimulation by the CD28 family,80,https://reactome.org/PathwayBrowser/#/R-HSA-388841,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-389948,PD-1 signaling,30,https://reactome.org/PathwayBrowser/#/R-HSA-389948,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-1266738,Developmental Biology,1396,https://reactome.org/PathwayBrowser/#/R-HSA-1266738,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-6805567,Keratinization,219,https://reactome.org/PathwayBrowser/#/R-HSA-6805567,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-6809371,Formation of the cornified envelope,131,https://reactome.org/PathwayBrowser/#/R-HSA-6809371,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-1852241,Organelle biogenesis and maintenance,328,https://reactome.org/PathwayBrowser/#/R-HSA-1852241,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-5617833,Cilium Assembly,227,https://reactome.org/PathwayBrowser/#/R-HSA-5617833,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-5620924,Intraflagellar transport,71,https://reactome.org/PathwayBrowser/#/R-HSA-5620924,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-392499,Metabolism of proteins,2256,https://reactome.org/PathwayBrowser/#/R-HSA-392499,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-597592,Post-translational protein modification,1517,https://reactome.org/PathwayBrowser/#/R-HSA-597592,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-8852135,Protein ubiquitination,84,https://reactome.org/PathwayBrowser/#/R-HSA-8852135,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-8866654,E3 ubiquitin ligases ubiquitinate target proteins,59,https://reactome.org/PathwayBrowser/#/R-HSA-8866654,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-212436,Generic Transcription Pathway,1449,https://reactome.org/PathwayBrowser/#/R-HSA-212436,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-3700989,Transcriptional Regulation by TP53,364,https://reactome.org/PathwayBrowser/#/R-HSA-3700989,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-6791312,TP53 Regulates Transcription of Cell Cycle Genes,49,https://reactome.org/PathwayBrowser/#/R-HSA-6791312,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-6804116,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,14,https://reactome.org/PathwayBrowser/#/R-HSA-6804116,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-73857,RNA Polymerase II Transcription,1639,https://reactome.org/PathwayBrowser/#/R-HSA-73857,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-74160,Gene expression (Transcription),1878,https://reactome.org/PathwayBrowser/#/R-HSA-74160,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-8866652,Synthesis of active ubiquitin: roles of E1 and E2 enzymes,35,https://reactome.org/PathwayBrowser/#/R-HSA-8866652,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation,309,https://reactome.org/PathwayBrowser/#/R-HSA-983168,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-983169,Class I MHC mediated antigen processing & presentation,453,https://reactome.org/PathwayBrowser/#/R-HSA-983169,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-1430728,Metabolism,2294,https://reactome.org/PathwayBrowser/#/R-HSA-1430728,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-1660662,Glycosphingolipid metabolism,46,https://reactome.org/PathwayBrowser/#/R-HSA-1660662,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-428157,Sphingolipid metabolism,91,https://reactome.org/PathwayBrowser/#/R-HSA-428157,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-556833,Metabolism of lipids,797,https://reactome.org/PathwayBrowser/#/R-HSA-556833,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-1989781,PPARA activates gene expression,135,https://reactome.org/PathwayBrowser/#/R-HSA-1989781,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-381340,Transcriptional regulation of white adipocyte differentiation,133,https://reactome.org/PathwayBrowser/#/R-HSA-381340,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-400206,Regulation of lipid metabolism by PPARalpha,137,https://reactome.org/PathwayBrowser/#/R-HSA-400206,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9696270,RND2 GTPase cycle,43,https://reactome.org/PathwayBrowser/#/R-HSA-9696270,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-373760,L1CAM interactions,170,https://reactome.org/PathwayBrowser/#/R-HSA-373760,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-422475,Axon guidance,708,https://reactome.org/PathwayBrowser/#/R-HSA-422475,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-437239,Recycling pathway of L1,84,https://reactome.org/PathwayBrowser/#/R-HSA-437239,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9675108,Nervous system development,739,https://reactome.org/PathwayBrowser/#/R-HSA-9675108,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-189200,Cellular hexose transport,21,https://reactome.org/PathwayBrowser/#/R-HSA-189200,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-382551,Transport of small molecules,741,https://reactome.org/PathwayBrowser/#/R-HSA-382551,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-425407,SLC-mediated transmembrane transport,248,https://reactome.org/PathwayBrowser/#/R-HSA-425407,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-109581,Apoptosis,189,https://reactome.org/PathwayBrowser/#/R-HSA-109581,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-169911,Regulation of Apoptosis,53,https://reactome.org/PathwayBrowser/#/R-HSA-169911,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-211728,Regulation of PAK-2p34 activity by PS-GAP/RHG10,2,https://reactome.org/PathwayBrowser/#/R-HSA-211728,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-5357801,Programmed Cell Death,227,https://reactome.org/PathwayBrowser/#/R-HSA-5357801,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-8980692,RHOA GTPase cycle,150,https://reactome.org/PathwayBrowser/#/R-HSA-8980692,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9013148,CDC42 GTPase cycle,155,https://reactome.org/PathwayBrowser/#/R-HSA-9013148,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9013149,RAC1 GTPase cycle,185,https://reactome.org/PathwayBrowser/#/R-HSA-9013149,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-2672351,Stimuli-sensing channels,107,https://reactome.org/PathwayBrowser/#/R-HSA-2672351,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9694516,SARS-CoV-2 Infection,357,https://reactome.org/PathwayBrowser/#/R-HSA-9694516,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9733458,Induction of Cell-Cell Fusion,19,https://reactome.org/PathwayBrowser/#/R-HSA-9733458,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9772573,Late SARS-CoV-2 Infection Events,93,https://reactome.org/PathwayBrowser/#/R-HSA-9772573,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-983712,Ion channel transport,184,https://reactome.org/PathwayBrowser/#/R-HSA-983712,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-977225,Amyloid fiber formation,81,https://reactome.org/PathwayBrowser/#/R-HSA-977225,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-193648,NRAGE signals death through JNK,60,https://reactome.org/PathwayBrowser/#/R-HSA-193648,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-193704,p75 NTR receptor-mediated signalling,106,https://reactome.org/PathwayBrowser/#/R-HSA-193704,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-204998,"Cell death signalling via NRAGE, NRIF and NADE",81,https://reactome.org/PathwayBrowser/#/R-HSA-204998,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-372790,Signaling by GPCR,782,https://reactome.org/PathwayBrowser/#/R-HSA-372790,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-388396,GPCR downstream signalling,704,https://reactome.org/PathwayBrowser/#/R-HSA-388396,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-416482,G alpha (12/13) signalling events,80,https://reactome.org/PathwayBrowser/#/R-HSA-416482,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-73887,Death Receptor Signaling,169,https://reactome.org/PathwayBrowser/#/R-HSA-73887,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-1221632,Meiotic synapsis,59,https://reactome.org/PathwayBrowser/#/R-HSA-1221632,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-1474165,Reproduction,113,https://reactome.org/PathwayBrowser/#/R-HSA-1474165,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-1500620,Meiosis,87,https://reactome.org/PathwayBrowser/#/R-HSA-1500620,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-1640170,Cell Cycle,808,https://reactome.org/PathwayBrowser/#/R-HSA-1640170,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9013406,RHOQ GTPase cycle,59,https://reactome.org/PathwayBrowser/#/R-HSA-9013406,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9013408,RHOG GTPase cycle,74,https://reactome.org/PathwayBrowser/#/R-HSA-9013408,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-75105,Fatty acyl-CoA biosynthesis,40,https://reactome.org/PathwayBrowser/#/R-HSA-75105,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-75876,Synthesis of very long-chain fatty acyl-CoAs,25,https://reactome.org/PathwayBrowser/#/R-HSA-75876,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-8978868,Fatty acid metabolism,185,https://reactome.org/PathwayBrowser/#/R-HSA-8978868,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-3000471,Scavenging by Class B Receptors,9,https://reactome.org/PathwayBrowser/#/R-HSA-3000471,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-199991,Membrane Trafficking,677,https://reactome.org/PathwayBrowser/#/R-HSA-199991,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-6811434,COPI-dependent Golgi-to-ER retrograde traffic,103,https://reactome.org/PathwayBrowser/#/R-HSA-6811434,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-6811442,Intra-Golgi and retrograde Golgi-to-ER traffic,207,https://reactome.org/PathwayBrowser/#/R-HSA-6811442,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-8856688,Golgi-to-ER retrograde transport,137,https://reactome.org/PathwayBrowser/#/R-HSA-8856688,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-71064,Lysine catabolism,12,https://reactome.org/PathwayBrowser/#/R-HSA-71064,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-71291,Metabolism of amino acids and derivatives,386,https://reactome.org/PathwayBrowser/#/R-HSA-71291,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-6782315,tRNA modification in the nucleus and cytosol,45,https://reactome.org/PathwayBrowser/#/R-HSA-6782315,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-6782861,Synthesis of wybutosine at G37 of tRNA(Phe),7,https://reactome.org/PathwayBrowser/#/R-HSA-6782861,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-72306,tRNA processing,116,https://reactome.org/PathwayBrowser/#/R-HSA-72306,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-8953854,Metabolism of RNA,781,https://reactome.org/PathwayBrowser/#/R-HSA-8953854,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-8876198,RAB GEFs exchange GTP for GDP on RABs,90,https://reactome.org/PathwayBrowser/#/R-HSA-8876198,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9007101,Rab regulation of trafficking,123,https://reactome.org/PathwayBrowser/#/R-HSA-9007101,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",79,https://reactome.org/PathwayBrowser/#/R-HSA-446193,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-446203,Asparagine N-linked glycosylation,306,https://reactome.org/PathwayBrowser/#/R-HSA-446203,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-446219,Synthesis of substrates in N-glycan biosythesis,63,https://reactome.org/PathwayBrowser/#/R-HSA-446219,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-6787639,GDP-fucose biosynthesis,6,https://reactome.org/PathwayBrowser/#/R-HSA-6787639,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-3781865,Diseases of glycosylation,146,https://reactome.org/PathwayBrowser/#/R-HSA-3781865,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-3906995,Diseases associated with O-glycosylation of proteins,71,https://reactome.org/PathwayBrowser/#/R-HSA-3906995,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-5083635,Defective B3GALTL causes PpS,38,https://reactome.org/PathwayBrowser/#/R-HSA-5083635,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-5173105,O-linked glycosylation,114,https://reactome.org/PathwayBrowser/#/R-HSA-5173105,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,39,https://reactome.org/PathwayBrowser/#/R-HSA-5173214,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-5668914,Diseases of metabolism,254,https://reactome.org/PathwayBrowser/#/R-HSA-5668914,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-381753,Olfactory Signaling Pathway,490,https://reactome.org/PathwayBrowser/#/R-HSA-381753,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9709957,Sensory Perception,759,https://reactome.org/PathwayBrowser/#/R-HSA-9709957,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-9752946,Expression and translocation of olfactory receptors,413,https://reactome.org/PathwayBrowser/#/R-HSA-9752946,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-8873719,RAB geranylgeranylation,65,https://reactome.org/PathwayBrowser/#/R-HSA-8873719,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-5685942,HDR through Homologous Recombination (HRR),67,https://reactome.org/PathwayBrowser/#/R-HSA-5685942,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-5693532,DNA Double-Strand Break Repair,150,https://reactome.org/PathwayBrowser/#/R-HSA-5693532,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-5693537,Resolution of D-Loop Structures,34,https://reactome.org/PathwayBrowser/#/R-HSA-5693537,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
R-HSA-5693538,Homology Directed Repair,120,https://reactome.org/PathwayBrowser/#/R-HSA-5693538,2023-05-11,NA,https://reactome.org/download/current/UniProt2Reactome_All_Levels.txt
